"Tạp chí GQ, ""Tất cả Eyez về Ngài"", tháng 12 năm 2012"
"Suy nghĩ tiến độ, ""Rubio về tuổi của trái đất"", ngày 5 tháng 12 năm 2012, qua YouTube"
"Kentucky Insider, ""Rand Paul Tại Hội thảo nhà giáo viên tại nhà Christian - Phần 2,"" ngày 27 tháng 6 năm 2010, qua YouTube"
"Bài đăng trên Facebook, được PolitiFact nhận vào tháng 3 năm 2013"
Tóm tắt thống kê của Hoa Kỳ 1967
Tóm tắt thống kê của Hoa Kỳ 1966
"Trung tâm kiểm soát và phòng ngừa dịch bệnh, ""Sinh: Dữ liệu cuối cùng cho năm 2012,"" ngày 30 tháng 12 năm 2013"
"Cục điều tra dân số Hoa Kỳ, ""Bảng CH-2: Sắp xếp cuộc sống của trẻ em da trắng dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014"
"Cục điều tra dân số Hoa Kỳ, ""Bảng CH-3. Sắp xếp cuộc sống của trẻ em da đen dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014"
"PolitiFact, ""Don Lemon của CNN cho biết hơn 72 phần trăm các ca sinh của người Mỹ gốc Phi ra khỏi giá thú,"" ngày 29 tháng 7 năm 2013"
"Phỏng vấn Douglas J. Besharov, giáo sư chính sách công tại Đại học Maryland, ngày 24 tháng 3 năm 2014"
"Cuộc phỏng vấn qua email với Timothy M. Smeeding, giám đốc Viện Nghiên cứu về Nghèo đói tại Đại học Wisconsin, ngày 20 tháng 3 năm 2014"
"Cuộc phỏng vấn qua email với Tom W. Smith, chuyên viên cao cấp tại Trung tâm Nghiên cứu Ý kiến ​​Quốc gia tại Đại học Chicago, ngày 24 tháng 3 năm 2014"
"Cuộc phỏng vấn qua email với Douglas Massey, giáo sư tại Văn phòng Nghiên cứu Dân số của Đại học Princeton, ngày 24 tháng 3 năm 2014"
Facebook meme
"Huffington Post, Hoa Kỳ che giấu viện trợ nước ngoài cho Ukraine, nhưng đây là nơi một số đi, ngày 7 tháng 3 năm 2014"
ForeignAssistance.gov
"US AID, trang thông tin Ukraina, đã truy cập ngày 19 tháng 3 năm 2014"
"Phỏng vấn Nicole Valentinuzzi, giám đốc truyền thông của Tổ chức Phát hành Bạn, ngày 18 tháng 3 năm 2014"
"Washington Post, ""Người Đức không hài lòng với rượu Victoria Nuland,"" ngày 7 tháng 2 năm 2014"
"Cuộc phỏng vấn qua email với John Kun, phó chủ tịch Quỹ Mỹ-Ukraine, ngày 18 tháng 3 năm 2014"
"Phỏng vấn Nicole Thompson, phát ngôn viên Bộ Ngoại giao, ngày 19 tháng 3 năm 2014"
"Nga hôm nay, ""Cơ quan viện trợ nước ngoài của Mỹ đã trả tiền cho bạo lực đường phố Kiev - cựu đại lý Mỹ Scott Rickard,"" ngày 17 tháng 3 năm 2014"
"Email, Genevieve Van Cleve, chuyên gia tư vấn chung, chiến dịch Sarah Eckhardt, ngày 27 tháng 2 năm 2014"
"Email (trích dẫn), Leslie Browder, điều hành kế hoạch và ngân sách của Travis County, ngày 27-28 tháng 2 năm 2014"
"Thông báo công khai về việc trả lương cho các quan chức của Travis County, như được xuất bản trong tờ Austin Chronicle, cho các năm tài chính 2008, 2009, 2011, 2013, 2014 (nhận được qua email từ Genevieve Van Cleve, ngày 27 tháng 2 năm 2014)"
"Các cuộc phỏng vấn qua điện thoại, Sarah Eckhardt, Austin, ngày 27 tháng 2 năm 2014 và ngày 3 tháng 3 năm 2014"
"Biểu đồ và tài liệu về lịch sử chi trả của Sarah Eckhardt, tháng 9 năm 1995 đến tháng 6 năm 2013 (nhận được qua email từ Nicki Riley, kiểm toán viên của Travis County, ngày 27 tháng 2 năm 2014"
"Duh Progressive, ""Nancy Pelosi:"" Đợi nhiều giờ trong phòng cấp cứu sẽ cho phép bạn kết bạn mới "", ngày 16 tháng 1 năm 2014"
"Bài đăng trên Facebook, tháng 1 năm 2014"
"Huffington Post, ""Obamacare có thể gây ra thời gian chờ đợi lâu hơn tại ER, bác sĩ nói,"" ngày 16 tháng 1 năm 2014"
"Cuộc phỏng vấn qua điện thoại với Drew Hammill, người phát ngôn của Nancy Pelosi, ngày 25 tháng 2 năm 2014"
"YouGov.com, ""Sự trở lại ảo của Mitt Romney"", ngày 17 tháng 2 năm 2014"
"Washington Examiner, ""Thăm dò ý kiến: Chỉ có 79% cử tri Obama sẽ bầu cho anh ấy một lần nữa,"" ngày 18 tháng 2 năm 2014"
"TeaParty.org, ""Cuộc thăm dò sốc: 71% người ủng hộ Obama"" hối tiếc ""bỏ phiếu cho tái đắc cử của mình,"" ngày 18 tháng 2 năm 2014"
"Cuộc phỏng vấn với Paul Bedard, Washington Examiner Washington Secrets columnist, ngày 25 tháng 2 năm 2014"
"Cuộc phỏng vấn với William Jordan, Trợ lý biên tập viên của YouGov.com, ngày 25 tháng 2 năm 2014"
"Phỏng vấn Karlyn Bowman, nhà phân tích bỏ phiếu tại Viện Doanh nghiệp Mỹ, ngày 25 tháng 2 năm 2014"
"Cuộc phỏng vấn với Jocelyn Kiley, Trung tâm nghiên cứu Pew dành cho nhân viên và nhà nghiên cứu cao cấp của báo chí, ngày 25 tháng 2 năm 2014"
"Paul Bedard tweet, ngày 18 tháng 2 năm 2014"
"Fox & Friends Facebook và Twitter, ngày 19 tháng 2 năm 2014"
"Chương trình Rush Limbaugh, ""Pearls of Wisdom"", ngày 18 tháng 2 năm 2014"
"Washington Post, ""Không, 71 phần trăm cử tri Obama không hối tiếc bỏ phiếu cho anh ta,"" ngày 19 tháng 2 năm 2014"
"Báo giá ảnh được đăng lên Facebook bởi ""Cơ đốc nhân cho Michele Bachmann,"" ngày 3 tháng 2 năm 2014"
"Cuộc phỏng vấn qua email với Dan Kotman, người phát ngôn, Đại diện Hoa Kỳ Michele Bachmann, R-Minn, ngày 6 tháng 2 năm 2014"
"Bài đăng trên blog của Waffles tại Noon, ""Michele Bachmann đã nói Kinh Thánh đã được viết bằng tiếng Anh chưa?"", Ngày 4 tháng 2 năm 2014"
"Benjamin Zimmer, bài đăng trên blog của Language Log, ngày 29 tháng 4 năm 2006"
"Bài báo New York Times, ""rao giảng Kinh Thánh"", ngày 23 tháng 5 năm 1881"
"Barry Popik, bài đăng blog trên barrypopik.com, ngày 10 tháng 8 năm 2006"
"The Atlanta Journal-Hiến pháp, ""Thay đổi tem thực phẩm đạt 2 triệu người Georgia,"" ngày 9 tháng 11 năm 2013."
"Bloomberg, ""Quốc hội thông qua dự luật nông trại để chấm dứt chiến đấu trên phiếu thực phẩm"", ngày 4 tháng 2 năm 2014."
"Email từ Bộ Nông nghiệp Hoa Kỳ, ngày 4 tháng 2 năm 2014."
Các yêu cầu về thu nhập SNAP.
Tỷ lệ tham gia SNAP và biểu đồ chi phí năm tài chính.
"Bộ Nông nghiệp Hoa Kỳ, Bản tin 404, 1916 (scan / text)"
"Bộ Nông nghiệp Hoa Kỳ, chương về cây gai dầu từ Niên giám của Bộ Nông nghiệp Hoa Kỳ 1913"
"Jack Herer, Hoàng đế không mặc quần áo, truy cập ngày 16 tháng 1 năm 2014"
Hemphoax.org website
"Denver Post, ""Làm rõ luật về trồng cây gai dầu"" (biên tập), ngày 10 tháng 11 năm 2013"
"Dịch vụ mở rộng hợp tác của Đại học Kentucky, ""Vấn đề pháp lý công nghiệp - vấn đề pháp lý"", được truy cập ngày 16 tháng 1 năm 2014"
"Christine A. Kolosov, ""Đánh giá sự quan tâm của công chúng: Quy định về cây gai dầu công nghiệp theo các chất được kiểm soát"" (UCLA Law Review)"
"Cuộc phỏng vấn qua email với Michael Schaller, nhà sử học Đại học Arizona, ngày 16 tháng 1 năm 2014"
