claim,page_citation,page_is_first_citation
"Nói. Đại diện Joe Barton, R-Texas, đã từng nói, ""Gió là một nguồn tài nguyên hữu hạn và khai thác nó sẽ làm chậm gió xuống, khiến nhiệt độ tăng lên.""","Cuộc phỏng vấn qua email với Sean Brown, người phát ngôn của Joe Barton, ngày 13 tháng 1 năm 2015",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Facebook, bài đăng từ US Uncut, ngày 31 tháng 12 năm 2014",1
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Phỏng vấn, Mỹ Uncut hoạt động truyền thông xã hội Steve Provost, ngày 9 tháng 1 năm 2015",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Cuộc phỏng vấn qua email, Nhà khoa học cao cấp của trường đại học Wisconsin-Milwaukee, Lois Quinn, ngày 9 tháng 1 năm 2015",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Đại học Wisconsin-Milwaukee, ""Cuộc tẩy chay hàng loạt của người Mỹ gốc Phi của người Mỹ gốc Phi: Thách thức lực lượng lao động cho năm 2013"", 2013",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","The Daily Beast, ""Tiệc trà bên trái: US Uncut,"" ngày 3 tháng 3 năm 2011",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Politico, ""Nhóm biểu tình của Anh lan sang Mỹ"", ngày 28 tháng 3 năm 2011",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","PolitiFact Wisconsin, ""Khải huyền Jesse Jackson nói Milwaukee là thành phố tách biệt nhất ở Mỹ"", ngày 18 tháng 4 năm 2011",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Salon, ""10 khu đô thị tách biệt nhất ở Mỹ"", ngày 29 tháng 3 năm 2011",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Milwaukee Journal Sentinel, ""khu vực Milwaukee đứng đầu nghiên cứu phân biệt Brookings của dữ liệu điều tra dân số,"" ngày 14 tháng 12 năm 2010",0
"Milwaukee ""giam giữ 1,2% nam giới da trắng"" và đã ""giam giữ hơn 50% đàn ông da đen ở độ tuổi 30"".","Business Insider, ""25 thành phố tách biệt nhất ở Mỹ"", ngày 22 tháng 11 năm 2013",0
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.",bài đăng Facebook,1
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.","Cuộc phỏng vấn qua điện thoại với Nancy Pope, nhà sử học và giám tuyển tại Bảo tàng Bưu điện Quốc gia ở Washington, DC",0
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.","Snopes: ""Hình ảnh cho thấy trẻ em được gửi qua thư"", Đánh giá nó một hỗn hợp.",0
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.","Giao hàng rất đặc biệt, Nancy Pope, nhà sử học và giám tuyển, Blog Bảo tàng Bưu điện Quốc gia Smithsonian, ngày 19 tháng 2 năm 2013.",0
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.","Làm thế nào nhiều tem nó có để gửi một em bé? Smithsonian Institutional Archives, bởi Catherine Shteynberg, ngày 16 tháng 6 năm 2009",0
"Năm 1913, việc gửi thư cho trẻ em là hợp pháp.",Khám phá: Gửi thư cho trẻ qua bưu kiện? GenealogyBank.com,0
Các thượng nghị sĩ đảng Cộng hòa mới được bầu đã ký cam kết loại bỏ chương trình tem thực phẩm năm 2015.,"Rò rỉ hàng ngày, ""Các thượng nghị sĩ đảng Cộng hòa mới được bầu đã ký cam kết loại bỏ chương trình tem thực phẩm vào năm 2015"", tháng 12 năm 2014",1
Các thượng nghị sĩ đảng Cộng hòa mới được bầu đã ký cam kết loại bỏ chương trình tem thực phẩm năm 2015.,"Hàng ngày Rò rỉ, trang Câu hỏi thường gặp, được truy cập vào ngày 6 tháng 1 năm 2015",0
