claim,page_citation,page_is_first_citation
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Đảng Xã hội chủ nghĩa Hoa Kỳ ra mắt tên của 70 thành viên đảng Dân chủ của Quốc hội Ai là thành viên của Quốc hội, Conservatebyte.com, ngày 16 tháng 8 năm 2011",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Trao đổi email với Ruth Miller, quản trị viên của Sovereign Citizens United, ngày 31 tháng 8 năm 2001",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Sen. Bernie Sanders on-ed, Huffington Post, ngày 22 tháng 4 năm 2009",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Hồ sơ của Alcee Hastings, Who Runs Gov.com của Washington Post, đã truy cập vào ngày 31 tháng 8 năm 2011",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Andre Carson: Tiệc trà muốn người da đen treo trên cây ', POLITICO, ngày 31 tháng 8 năm 2011",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Nhóm đã làm cho nó đúng bằng cách kêu gọi các nhà xã hội chủ nghĩa không ?, PolitiFact Georgia, ngày 1 tháng 9 năm 2011",0
"Đại diện của Hoa Kỳ tại Florida, Corrine Brown, Alcee Hastings và Frederica Wilson là những nhà xã hội chủ nghĩa.","Keywiki.org, Diễn đàn tiến bộ của Quốc hội",0
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","PolitiFact Oregon, các blogger cho rằng Peter DeFazio và Earl Blumenauer là những người xã hội chủ nghĩa, 29 tháng 8",1
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","Cuộc phỏng vấn qua điện thoại; Frank Llewellyn và Maria Svart, các nhà xã hội chủ nghĩa dân chủ của Mỹ, ngày 22 tháng 8.",0
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","Trang web, Đại hội Progressive Caucus",0
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","Trao đổi email, văn phòng đại diện Peter DeFazio, ngày 18 tháng 8",0
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","Trao đổi email, văn phòng đại diện Earl Blumenauer, ngày 18 tháng 8",0
"Nói với các đại diện New Jersey, Donald Payne và Frank Pallone là ""các nhà xã hội chủ nghĩa phục vụ công khai tại Quốc hội Hoa Kỳ"".","The Wall Street Shuffle, trang web cho các đài phát thanh nói chuyện Dan Cofall và Dan Stewart, Dallas-Ft. Worth, Tex.",0
