claim,page_citation,page_is_first_citation
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Lance Janda, sử gia quân sự tại Đại học Cameron ở Lawton, Okla, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Ted R. Bromund, nghiên cứu viên cao cấp tại Heritage Foundation, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Michael O’Hanlon, đồng nghiệp cấp cao của Viện Brookings, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với John Pike, giám đốc globalsecurity.org, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Ted Wilson, giáo sư lịch sử tại Đại học Kansas, ngày 28 tháng 3 năm 2014",0
"Marco Rubio tin rằng trái đất là 9.000 năm tuổi và con người săn lùng khủng long để tuyệt chủng; Rand Paul tin rằng trái đất là 10.000 năm tuổi và Thiên Chúa đã loại bỏ những con khủng long ""để tạo không gian cho con người"".","Tự do, hình ảnh Facebook, ngày 10 tháng 3 năm 2014",1
"Marco Rubio tin rằng trái đất là 9.000 năm tuổi và con người săn lùng khủng long để tuyệt chủng; Rand Paul tin rằng trái đất là 10.000 năm tuổi và Thiên Chúa đã loại bỏ những con khủng long ""để tạo không gian cho con người"".","Tạp chí GQ, ""Tất cả Eyez về Ngài"", tháng 12 năm 2012",0
"Marco Rubio tin rằng trái đất là 9.000 năm tuổi và con người săn lùng khủng long để tuyệt chủng; Rand Paul tin rằng trái đất là 10.000 năm tuổi và Thiên Chúa đã loại bỏ những con khủng long ""để tạo không gian cho con người"".","Suy nghĩ tiến độ, ""Rubio về tuổi của trái đất"", ngày 5 tháng 12 năm 2012, qua YouTube",0
"Marco Rubio tin rằng trái đất là 9.000 năm tuổi và con người săn lùng khủng long để tuyệt chủng; Rand Paul tin rằng trái đất là 10.000 năm tuổi và Thiên Chúa đã loại bỏ những con khủng long ""để tạo không gian cho con người"".","Kentucky Insider, ""Rand Paul Tại Hội thảo nhà giáo viên tại nhà Christian - Phần 2,"" ngày 27 tháng 6 năm 2010, qua YouTube",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Bài đăng trên Facebook, được PolitiFact nhận vào tháng 3 năm 2013",1
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.",Tóm tắt thống kê của Hoa Kỳ 1967,0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.",Tóm tắt thống kê của Hoa Kỳ 1966,0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Trung tâm kiểm soát và phòng ngừa dịch bệnh, ""Sinh: Dữ liệu cuối cùng cho năm 2012,"" ngày 30 tháng 12 năm 2013",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Cục điều tra dân số Hoa Kỳ, ""Bảng CH-2: Sắp xếp cuộc sống của trẻ em da trắng dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Cục điều tra dân số Hoa Kỳ, ""Bảng CH-3. Sắp xếp cuộc sống của trẻ em da đen dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014",0
