claim,page_citation,page_is_first_citation
"Một chuyến bay từ Atlanta đến Houston đã bị hủy do một ""cuộc chạy trốn khủng bố.""","Chaplain Tiến sĩ Keith A. Robinson, ""Air Tran [sic] Chuyến bay 297 sự cố,"" 2009",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn qua email với Stuart Benjamin, giáo sư luật viễn thông tại Đại học Duke, ngày 8 tháng 9 năm 2014",1
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn với Jane Akre, nguyên đơn, ngày 8 tháng 9 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn với Alison Steele, luật sư truyền thông, ngày 9 tháng 9 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn qua email với Deni Elliott, giáo sư nghiên cứu truyền thông tại Đại học South Florida, ngày 9 tháng 9 năm 2010",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Phỏng vấn Thomas McGowan, luật sư truyền thông, ngày 9 tháng 9 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn với Liane Casten, cựu phóng viên cho tờ Chicago Media Watch, ngày 4 tháng 9 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Cuộc phỏng vấn với Lynn Waddell, phóng viên tự do, ngày 8 tháng 9 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Dự án bị kiểm duyệt, truyền thông có thể hợp pháp nói dối, mùa xuân 2003",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Facebook, Fox thừa nhận họ Lie, ngày 7 tháng 2 năm 2014",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Daily Kos, Fox News thừa nhận họ nói dối và làm méo mó tin tức, vậy tại sao lại quá bực mình ?, ngày 25 tháng 10 năm 2009",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","IMDB, Tổng công ty, 2003",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","FoxBGHSuit, Khiếu nại Akre / Wilson, tháng 3 năm 1998",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","FoxBGHSuit, Fox-TV bảo vệ (NEW WORLD COMMUNICATIONS) Phản hồi khiếu nại, 1998",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","St. Petersburg Times, Phóng viên thắng kiện vì bị bắn, ngày 19 tháng 8 năm 2000",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","FindLaw, TRUYỀN THÔNG THẾ GIỚI MỚI CỦA TAMPA INC WTVT TV v. AKRE, ngày 14 tháng 2 năm 2003",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Ủy ban truyền thông liên bang, Lập trình phát sóng: Luật và chính sách về các loại lập trình cụ thể, tháng 7 năm 2008",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Ủy ban Truyền thông Liên bang, Bảo vệ Whistleblower theo Đạo luật Phục hồi, 2009",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Tòa phúc thẩm Florida, Quận thứ hai, Vụ kiện số 2D01-529, tháng 9 năm 2001",0
"Fox thừa nhận họ nói dối và, trong Bản sửa đổi thứ nhất, ""có quyền nói dối hoặc cố ý bóp méo các báo cáo tin tức về sóng công cộng.""","Hành tinh hàng tuần, Grazing A Stink, ngày 25 tháng 5 năm 1998",0
