claim,page_citation,page_is_first_citation
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","USADailyTime.com, ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" kẻ giết người Trump ""của mình"", ngày 17 tháng 3 năm 2017",1
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","TheLastLineOfDefense.org, ""BREAKING: Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" kẻ giết người ""của mình,"" ngày 14 tháng 3 năm 2017",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","PolitiFact Georgia, ""Không có bằng chứng để ủng hộ tuyên bố về các mối đe dọa chống lại Obama"", ngày 18 tháng 3 năm 2013",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","CNN, ""Trump: Tôi có thể 'bắn ai đó và tôi sẽ không mất cử tri',"" ngày 24 tháng 1 năm 2016",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","TheDailyBeast.com, ""Video Shocking Trump của Marilyn Manson"", ngày 8 tháng 11 năm 2016",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","YouTube, ""Lavender (Nightfall Remix)"", ngày 12 tháng 3 năm 2017",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","TMZ.com, ""Snoop đưa ra một thông điệp nguy hiểm với vụ ám sát Mock,"" ngày 13 tháng 3 năm 2017",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","TheWrap.com, ""Dịch vụ bí mật có mắt của nó trên Snoop Dogg qua Video Với Mock Trump Shooting"", ngày 14 tháng 3 năm 2017",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","Snoop Dogg, video trên Instagram, ngày 15 tháng 3 năm 2017",0
"Nói ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" giết người Trump ""của mình.""","Twitter, Tổng thống Donald Trump tweet, ngày 15 tháng 3 năm 2017",0
