Văn bản của Đạo luật Bảo vệ Bệnh nhân và Chăm sóc Giá cả Phải chăng
"WhiteHouse.gov, Văn bản của lệnh điều hành tổng thống đang chờ bảo đảm thực thi và thực thi các hạn chế phá thai trong Đạo luật Bảo vệ Bệnh nhân và Chăm sóc Giá cả phải chăng, ngày 21 tháng 3 năm 2010"
"Massresources.org, trang Net Safety Health, được truy cập vào ngày 14 tháng 6 năm 2012"
"Los Angeles Times, ""Trợ giúp y tế cho những người nhập cư bất hợp pháp có thể ám ảnh Mitt Romney,"" ngày 23 tháng 10 năm 2011"
"Hiệp hội quốc gia của các trung tâm y tế cộng đồng, mở rộng các trung tâm y tế theo cải cách chăm sóc sức khỏe: giảm nguy cơ bệnh tật và giảm chi phí, tháng 6 năm 2010"
"Phỏng vấn Brian Rosman, Chăm sóc sức khỏe cho tất cả, ngày 14 tháng 6 năm 2012"
"Phỏng vấn Sarah Iselin, chủ tịch của Blue Cross Blue Shield of Massachusetts Foundation, ngày 15 tháng 6 năm 2012"
"Bài đăng trên Facebook, có nguồn gốc từ Cuộc gọi Groobiecat, được truy cập ngày 22 tháng 5 năm 2012"
"MarketWatch, ""Obama chi tiêu bản lề không bao giờ xảy ra"" (cột của Rex Nutting), ngày 22 tháng 5 năm 2012"
"Mitt Romney cho Chủ tịch, phát hành trang web về chi tiêu, truy cập ngày 23 tháng 5 năm 2012"
"Văn phòng Quản lý và Ngân sách, Bảng 1.1 — Tóm tắt Biên nhận, Số dư, và Thặng dư hoặc Thâm hụt (-): 1789–2017, được truy cập vào ngày 23 tháng 5 năm 2012"
"Văn phòng Quản lý và Ngân sách, Bảng 1.3 — Tóm tắt Biên lai, Chi tiêu, và Thặng dư hoặc Thâm hụt (-) bằng Đô la Hiện tại, Đô la Liên tục (FY 2005) và Tỷ lệ GDP: 1940–2017, truy cập ngày 23 tháng 5 năm 2012"
"Văn phòng Quản lý và Ngân sách, Bảng 7.1 - Nợ Liên bang vào cuối năm: 1940–2017, được truy cập vào ngày 23 tháng 5 năm 2012"
"Văn phòng Ngân sách Quốc hội, ""Ngân sách và Triển vọng Kinh tế: Năm Tài chính 2012 đến 2022,"" tháng 1 năm 2012"
"Cục Thống kê Lao động, máy tính lạm phát, truy cập ngày 23 tháng 5 năm 2012"
"Cuộc phỏng vấn qua email với Roy T. Meyers, nhà khoa học chính trị tại Đại học Maryland (Hạt Baltimore), ngày 23 tháng 5 năm 2012"
"E-mail phỏng vấn với Steve Ellis, phó chủ tịch của người nộp thuế cho Common Sense, ngày 23 tháng 5 năm 2012"
"Cuộc phỏng vấn với Rex Nutting, MarketWatch columnist, ngày 22 tháng 5 năm 2012"
"WrongWayRubio.com, tweet trên Rubio và Iraq, truy cập ngày 8 tháng 5 năm 2012"
"Cuộc phỏng vấn qua email với người phát ngôn của Rubio Alex Conant, ngày 13 và 18 tháng 4 năm 2012"
"Thông cáo báo chí của Thượng nghị sĩ Marco Rubio, ""Thượng nghị sĩ Rubio bình luận về bài phát biểu của Tổng thống Afghanistan,"" ngày 21 tháng 10 năm 2011"
"Fox News, Studio B, ""Rubio sợ hãi về việc Hoa Kỳ bỏ Iraq quá nhanh,"" ngày 21 tháng 10 năm 2011"
"Thông cáo báo chí của Thượng nghị sĩ Marco Rubio, ""Thượng nghị sĩ Rubio đưa ra những nhận xét về vai trò của Mỹ trên thế giới,"" ngày 14 tháng 9 năm 2011"
