claim,page_citation,page_is_first_citation
Một người đàn ông đã chọn không tham gia Obamacare sau khi thị trường ra mắt vào ngày 1 tháng 10 năm 2013 và được thông báo rằng anh ta nợ một khoản tiền phạt $ 4.000.,"USA Today, ""Kiểm tra sự thật: Thêm tuyên bố sai về Obamacare"", ngày 29 tháng 9 năm 2013",0
Một người đàn ông đã chọn không tham gia Obamacare sau khi thị trường ra mắt vào ngày 1 tháng 10 năm 2013 và được thông báo rằng anh ta nợ một khoản tiền phạt $ 4.000.,"Phỏng vấn Sabrina Siddiqui, phát ngôn viên Bộ Tài chính, ngày 3 tháng 10 năm 2013",0
Một người đàn ông đã chọn không tham gia Obamacare sau khi thị trường ra mắt vào ngày 1 tháng 10 năm 2013 và được thông báo rằng anh ta nợ một khoản tiền phạt $ 4.000.,"Cuộc phỏng vấn qua email với Brian Cook, người phát ngôn CMS, ngày 3 tháng 10 năm 2013",0
Một người đàn ông đã chọn không tham gia Obamacare sau khi thị trường ra mắt vào ngày 1 tháng 10 năm 2013 và được thông báo rằng anh ta nợ một khoản tiền phạt $ 4.000.,"Cuộc phỏng vấn qua email với Jonathan Oberlander, giáo sư chính sách sức khỏe tại Đại học Y khoa Bắc Carolina, ngày 3 tháng 10 năm 2013",0
Một người đàn ông đã chọn không tham gia Obamacare sau khi thị trường ra mắt vào ngày 1 tháng 10 năm 2013 và được thông báo rằng anh ta nợ một khoản tiền phạt $ 4.000.,"Cuộc phỏng vấn qua email với Gail Wilensky, cựu giám đốc của Medicare và Medicaid dưới thời Tổng thống George H.W. Bush, ngày 3 tháng 10 năm 2013",0
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"Báo cáo quốc gia, ""Obama tuyên bố Tháng đánh giá Hồi giáo quốc gia tháng 11,"" ngày 27 tháng 9 năm 2013",1
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"Liều lượng bảo thủ hàng ngày của bạn, ""Obama tuyên bố Tháng đánh giá Hồi giáo quốc gia tháng 11,"" ngày 27 tháng 9 năm 2013",0
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"Tiệc trà quốc gia, ""Obama tuyên bố tháng đánh giá Hồi giáo tháng 11,"" ngày 28 tháng 9 năm 2013",0
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"MinutemanNews.com, ""Obama tuyên bố Tháng đánh giá Hồi giáo quốc gia tháng 11,"" ngày 28 tháng 9 năm 2013",0
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"Nhà Trắng, ""Tuyên bố"", ngày 30 tháng 9 năm 2013",0
Obama tuyên bố tháng đánh giá Hồi giáo quốc gia tháng 11.,"Nhà Trắng, ""Tuyên bố của Tổng thống về dịp lễ Ramadan,"" ngày 8 tháng 7 năm 2013",0
