claim,page_citation,claim_label
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Bài đăng trên Facebook trên Facebook, Chúa Giêsu yêu You.org, ""Sự hiệp thông trên mặt trăng""",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"The Washington Post, trên blog Faith, ""Dưới Đức Chúa Trời: Lần đầu tiên trên mặt trăng,"" David Waters, ngày 20 tháng 7 năm 2009",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"YouTube, video về sự hiệp thông trên Mặt trăng, từ các phim ngắn, ""Từ Trái đất đến Mặt trăng"", Tập 6, được đăng, ngày 14 tháng 7 năm 2009",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Google Books, ""Desolation Magnificent: The Long Journey Trang chủ từ Mặt trăng,"" Buzz Aldrin với Ken Abraham, xuất bản ngày 23 tháng 6 năm 2009",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Google Sách, ""Sứ mệnh đến sao Hỏa: Tầm nhìn của tôi về thăm dò không gian"", Buzz Aldrin cùng Leonard David, xuất bản ngày 7 tháng 5 năm 2013",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"IMDB, ""Từ Trái Đất đến Mặt Trăng""",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Lưu trữ bài viết Guideposts, ""Communion in Space"", do Buzz Aldrin, tháng 10 năm 1970",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"CNN, ""Tầm nhìn của du hành vũ trụ Buzz Aldrin về du lịch vũ trụ cho quần chúng"", ngày 15 tháng 8 năm 2013",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Daily Mail trực tuyến, ""Tiết lộ: Buzz Aldrin đã nhận Rước lễ trên mặt trăng (nhưng NASA giữ bí mật),"" ngày 21 tháng 7 năm 2013",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"TIME Swampland, ""Sự hiệp thông bí mật trên mặt trăng: Kỷ niệm 44 năm,"" Elizabeth Dias, ngày 20 tháng 7 năm 2013",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Lịch sử NASA, Chương 8.4 ""Cuộc thám hiểm Apollo lên mặt trăng""",1
Bữa ăn đầu tiên trên mặt trăng là Lễ thánh.,"Webster Presbyterian Church, Lịch sử nhà thờ, Lễ hội âm lịch",1
"Có hơn 2.000 tội phạm được ghi nhận trên 100.000 dân ở Vương quốc Anh, so với ""466 tội phạm bạo lực trên 100.000 người"" tại Hoa Kỳ.","adamvstheman.com, meme, truy cập ngày 21 tháng 6 năm 2013",0
"Có hơn 2.000 tội phạm được ghi nhận trên 100.000 dân ở Vương quốc Anh, so với ""466 tội phạm bạo lực trên 100.000 người"" tại Hoa Kỳ.","The Libertarian hoài nghi, ""Kiểm tra thực tế Ben Swann: Anh có thực sự bạo lực gấp 5 lần Mỹ không?"", Ngày 12 tháng 1 năm 2013",0
