claim,page_citation,claim_label
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Facebook, Là ảnh thời gian tự do, ngày 12 tháng 11 năm 2014",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Fox News, Để được hạnh phúc, chúng ta phải thừa nhận phụ nữ và nam giới không 'bình đẳng', ngày 5 tháng 2 năm 2013",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Lưu trữ Internet, Để được hạnh phúc - lấy trang, ngày 7 tháng 2 năm 2013",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Jessica Valenti, Shhhh… không ai nói với Fox News, ngày 6 tháng 2 năm 2013",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Gawker, Fox News tình cờ sử dụng hình ảnh của cặp đôi cùng giới tính để minh họa bài viết về tầm quan trọng của hôn nhân khác giới, ngày 8 tháng 2 năm 2014",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"BuzzFeed, Fox News chạy ảnh của cặp đôi Lesbian trong câu chuyện về hôn nhân truyền thống, ngày 8 tháng 2 năm 2014",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Upworthy, Fox News kết thúc cuộc hôn nhân thẳng, rơi vào cuộc hôn nhân đồng tính do tai nạn, tháng 2 năm 2013",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Associated Press, Lela McArthur, Stephanie Figarelle, ngày 14 tháng 2 năm 2012",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Người gọi hàng ngày, Phyllis Schlafly kêu gọi RNC tái khẳng định sự phản đối hôn nhân đồng tính, tháng 8.2013",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Phỏng vấn, Carly Shanahan, phát ngôn viên, Fox News, ngày 19 tháng 11 năm 2014",1
Fox News sử dụng hình ảnh của một cặp vợ chồng đã quảng bá 'hôn nhân truyền thống' và bức ảnh này thực sự là một cặp vợ chồng cùng giới tính.,"Phỏng vấn, Jessica Valenti, ngày 19 tháng 11 năm 2014",1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.",Phương tiện truyền thông xã hội meme gửi đến PolitiFact,1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.","Pollingreport.com, xếp hạng công việc quốc hội, được truy cập vào ngày 10 tháng 11 năm 2014",1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.","Kết quả bầu cử CNN, cuộc bầu cử năm 2014 giữa kỳ, được truy cập vào ngày 10 tháng 11 năm 2014",1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.","Kết quả bầu cử CNN, cuộc bầu cử Thượng viện giữa nhiệm kỳ 2014, được truy cập vào ngày 10 tháng 11 năm 2014",1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.","Roll Call, ""Danh sách Casualty: Quốc hội lần thứ 113 (2013-2014)"", được truy cập ngày 10 tháng 11 năm 2014",1
"Quốc hội có 11 phần trăm phê duyệt xếp hạng, nhưng 96,4 phần trăm các nhà lập pháp đương nhiệm đã được bầu lại vào năm 2014.","Politico, ""Thoát cuộc thăm dò năm 2014: Cử tri ghét mọi người,"" ngày 4 tháng 11 năm 2014",1
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Người gọi hàng ngày, BOMBSHELL MEMO: Jeanne Shaheen Conspired Với White House Insider Trên IRS Targeting Scandal, ngày 3 tháng 11 năm 2014",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Chữ cái giữa Sense Jeanne Shaheen và sáu thượng nghị sĩ dân chủ khác và IRS, hẹn hò giữa ngày 16 tháng 2 năm 2012 và ngày 25 tháng 4 năm 2012.",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"PolitiFactNH, N.H. Chủ tịch GOP, Horn, nói Jeanne Shaheen ""đứng đằng sau ý tưởng sử dụng IRS để nhắm vào công dân Mỹ vì quan điểm chính trị của họ"", ngày 16 tháng 10 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Breitbart.com, Báo cáo: Election-eve Bombshell Memo Embroils Jeanne Shaheen Trong IRS Targeting Scandal, ngày 3 tháng 11 năm 2014",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Politico, Karl Rove: IRS đã làm những gì đảng Dân chủ muốn, ngày 15 tháng 5 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"ABC News, IRS phạm tội 'Lạm dụng quyền lực đáng thương', McConnell nói, ngày 14 tháng 5 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Lãnh đạo Liên minh New Hampshire, ""Shaheen Under Fire cho lá thư 2012 gửi đến IRS,"" ngày 16 tháng 5 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Jim Rubens, bài phát biểu chiến dịch, ngày 18 tháng 9 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Cuộc phỏng vấn qua email với Jennifer Horn, Chủ tịch NHGOP, ngày 24 tháng 9 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Thư gửi cho cựu ủy viên IRS Douglas Shulman, ngày 16 tháng 2 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Thông cáo báo chí từ văn phòng của Thượng nghị sĩ Hoa Kỳ Charles Schumer, bản sao bức thư gửi cho Ủy viên IRS Douglas Shulman, ngày 12 tháng 3 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Báo cáo từ Tổng thanh tra kho bạc cho quản lý thuế, ""Tiêu chí không phù hợp đã được sử dụng để xác định các ứng dụng miễn thuế để xem xét"" ngày 14 tháng 5 năm 2013",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Jeanne Shaheen, đã chuẩn bị bài phát biểu về Đạo luật DISCLOSE cho tầng Thượng viện Hoa Kỳ, ngày 17 tháng 7 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 17 tháng 7 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 22 tháng 9 năm 2010:",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 23 tháng 5 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Bài phát biểu về cải cách tài chính chiến dịch được phân phối trên sàn Thượng viện Hoa Kỳ, Thượng nghị sĩ Jeanne Shaheen, ngày 26 tháng 1 năm 2012",0
Jeanne Shaheen chủ yếu tham gia vào một âm mưu với Lois Lerner và người được chỉ định chính trị của Tổng thống Barack Obama tại IRS để lãnh đạo một chương trình quấy rối chống lại các nhóm phi lợi nhuận bảo thủ trong cuộc bầu cử năm 2012,"Fox News, cuộc phỏng vấn trên truyền hình với Karl Rove, ngày 14 tháng 5 năm 2013",0
