claim,page_citation,claim_label
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Lance Janda, sử gia quân sự tại Đại học Cameron ở Lawton, Okla, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Ted R. Bromund, nghiên cứu viên cao cấp tại Heritage Foundation, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Michael O’Hanlon, đồng nghiệp cấp cao của Viện Brookings, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với John Pike, giám đốc globalsecurity.org, ngày 27 tháng 3 năm 2014",0
22 quốc gia bị xâm chiếm bởi Hoa Kỳ trong 20 năm.,"Cuộc phỏng vấn qua email với Ted Wilson, giáo sư lịch sử tại Đại học Kansas, ngày 28 tháng 3 năm 2014",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Bài đăng trên Facebook, được PolitiFact nhận vào tháng 3 năm 2013",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.",Tóm tắt thống kê của Hoa Kỳ 1967,0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.",Tóm tắt thống kê của Hoa Kỳ 1966,0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Trung tâm kiểm soát và phòng ngừa dịch bệnh, ""Sinh: Dữ liệu cuối cùng cho năm 2012,"" ngày 30 tháng 12 năm 2013",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Cục điều tra dân số Hoa Kỳ, ""Bảng CH-2: Sắp xếp cuộc sống của trẻ em da trắng dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Cục điều tra dân số Hoa Kỳ, ""Bảng CH-3. Sắp xếp cuộc sống của trẻ em da đen dưới 18 tuổi: 1960 đến nay"", truy cập ngày 24 tháng 3 năm 2014",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","PolitiFact, ""Don Lemon của CNN cho biết hơn 72 phần trăm các ca sinh của người Mỹ gốc Phi ra khỏi giá thú,"" ngày 29 tháng 7 năm 2013",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Phỏng vấn Douglas J. Besharov, giáo sư chính sách công tại Đại học Maryland, ngày 24 tháng 3 năm 2014",0
"Tỷ lệ trẻ em da đen sinh ra không có cha trong nhà đã tăng từ 7 phần trăm vào năm 1964 đến 73 phần trăm ngày hôm nay, do những thay đổi từ Hội lớn của Tổng thống Lyndon Johnson.","Cuộc phỏng vấn qua email với Timothy M. Smeeding, giám đốc Viện Nghiên cứu về Nghèo đói tại Đại học Wisconsin, ngày 20 tháng 3 năm 2014",0
