claim,page_citation,claim_label
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","WrongWayRubio.com, tweet trên Rubio và Iraq, truy cập ngày 8 tháng 5 năm 2012",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Cuộc phỏng vấn qua email với người phát ngôn của Rubio Alex Conant, ngày 13 và 18 tháng 4 năm 2012",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Thông cáo báo chí của Thượng nghị sĩ Marco Rubio, ""Thượng nghị sĩ Rubio bình luận về bài phát biểu của Tổng thống Afghanistan,"" ngày 21 tháng 10 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Fox News, Studio B, ""Rubio sợ hãi về việc Hoa Kỳ bỏ Iraq quá nhanh,"" ngày 21 tháng 10 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Thông cáo báo chí của Thượng nghị sĩ Marco Rubio, ""Thượng nghị sĩ Rubio đưa ra những nhận xét về vai trò của Mỹ trên thế giới,"" ngày 14 tháng 9 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Thượng nghị sĩ Marco Rubio thông cáo báo chí, ""Trong các cuộc phỏng vấn trên truyền hình, Thượng nghị sĩ Rubio vạch ra quan điểm của ông về vai trò của Mỹ trên thế giới,"" ngày 15 tháng 9 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Bản sao, địa chỉ của Thượng nghị sĩ Marco Rubio về chính sách đối ngoại của Hoa Kỳ, ngày 25 tháng 4 năm 2012",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Roll Call, ""GOP không cho Obama đủ tín dụng về Libya,"" Truy cập tại Nexis, ngày 26 tháng 10 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Orlando Sentinel, ""phái đoàn Florida tranh luận vai trò của Mỹ trong các cuộc xung đột nước ngoài,"" Truy cập tại Nexis, ngày 24 tháng 6 năm 2011",1
"Nói rằng Thượng nghị sĩ Hoa Kỳ Marco Rubio nói quân đội sẽ rời Iraq ""quá nhanh"".","Tạp chí Tin tức Pensacola, ""Biên tập: Một vũng dài, tốn kém,"" Truy cập trong Nexis, ngày 24 tháng 6 năm 2011",1
