claim,page_citation,claim_label
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Smag31, Mẹ áp dụng một biện pháp khắc phục cho em bé của mình, khoảnh khắc sau đó ông qua đời. Hãy cẩn thận với điều này, các bà mẹ !, ngày 25 tháng 11 năm 2016",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"EurkAlert.com, lạm dụng Vicks VapoRub có thể gây hại cho trẻ sơ sinh và trẻ mới biết đi, ngày 13 tháng 1 năm 2009",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Nhi khoa và Sức khỏe Trẻ em, Tiếp xúc không chủ định của trẻ nhỏ với dầu long não và bạch đàn, tháng 2 năm 2001",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Tạp chí hô hấp Canada, Ảnh hưởng của tinh dầu bạc hà hít vào trên sức đề kháng đường hô hấp trên ở người: Một nghiên cứu chéo ngẫu nhiên có kiểm soát, tháng 1 năm 2013",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Mở Tạp chí Sinh lý Phân tử và Tích hợp, Phân tích các cơ chế bệnh lý liên quan đến tác dụng phụ của điều trị menthol trong các bệnh đường hô hấp, ngày 20 tháng 11 năm 2012",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Thư viện Y khoa Quốc gia Hoa Kỳ DailyMed, Thông tin về thuốc: Vicks VapoRub, ngày 20 tháng 12 năm 2016",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"ABC News, Vicks VapoRub lạm dụng có thể làm tổn thương trẻ sơ sinh, ngày 13 tháng 1 năm 2009",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Snopes, Scold Medicine, ngày 28 tháng 11 năm 2016",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Nhi khoa, Vapor Rub, Petrolatum, và Không điều trị cho trẻ em bị ho và triệu chứng cảm lạnh vào ban đêm, ngày 13 tháng 8 năm 2010",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Cuộc phỏng vấn qua email, Bruce Rubin, giáo sư và chủ tịch, Khoa Nhi, Đại học Virginia Commonwealth, ngày 4 tháng 1 năm 2017",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Cuộc phỏng vấn qua email, Jennifer Lowry, trưởng, Bộ phận độc học, Bệnh viện thương xót trẻ em, Thành phố Kansas, ngày 5 tháng 1 năm 2017",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Cuộc phỏng vấn qua email, Velvet Gogol Bennett, người phát ngôn, Procter và Gamble, ngày 4 tháng 1 năm 2017",0
Vicks VapoRub nói rằng cái chết của một đứa trẻ.,"Cuộc phỏng vấn qua email, Michael Fitzpatrick, Khoa Chăm sóc sức khỏe hô hấp và quan trọng, Đại học Queen's, Ontario, ngày 5 tháng 1 năm 2017",0
Sự can thiệp của Putin có thể khiến cho Tòa án có quyền hợp pháp để làm Chủ tịch Hillary.,"Hoa Kỳ Snich, ""Breaking: Putin Can thiệp có thể cung cấp cho tòa án pháp lý quyền làm Chủ tịch Hillary,"" ngày 11 tháng 12 năm 2016",0
Sự can thiệp của Putin có thể khiến cho Tòa án có quyền hợp pháp để làm Chủ tịch Hillary.,"Alex Mohajer, ""Sự can thiệp của Nga có thể cung cấp cho tòa án cơ quan pháp lý để cài đặt Clinton"" (Huffington Post cột), ban đầu được xuất bản ngày 10 tháng 12 năm 2016",0
Sự can thiệp của Putin có thể khiến cho Tòa án có quyền hợp pháp để làm Chủ tịch Hillary.,"Cuộc phỏng vấn qua email với Kermit Roosevelt, giáo sư luật tại Đại học Pennsylvania, ngày 20 tháng 12 năm 2016",0
Sự can thiệp của Putin có thể khiến cho Tòa án có quyền hợp pháp để làm Chủ tịch Hillary.,"Cuộc phỏng vấn qua email với Alex Mohajer, giám đốc chính trị của Bros4Hillary và đóng góp cho Huffington Post, ngày 20 tháng 12 năm 2016",0
